STATE,PERIOD,TOTAL_FIRE_SIZE,PRCP,EVAP,TMIN,TMAX,MEAN_ELEVATION,LAND_AREA,WATER_AREA,TOTAL_AREA,PERCENTAGE_FEDERAL_LAND,URBANIZATION_RATE
AK,1992-04,10.1,,,,,580,570641,94743,665384,60.9%,64.9
AK,1992-05,4309.5,5.36,44.17,-56.0,233.0,580,570641,94743,665384,60.9%,64.9
AK,1992-06,86460.6,14.03,39.27,-17.0,322.0,580,570641,94743,665384,60.9%,64.9
AK,1992-07,48578.5,16.78,30.91,28.0,300.0,580,570641,94743,665384,60.9%,64.9
AK,1992-08,3321.8,10.46,20.14,-33.0,267.0,580,570641,94743,665384,60.9%,64.9
AK,1992-09,35.8,17.25,15.27,-61.0,183.0,580,570641,94743,665384,60.9%,64.9
AK,1992-10,1.1,,,,,580,570641,94743,665384,60.9%,64.9
AK,1993-04,145.3,,,,,580,570641,94743,665384,60.9%,64.9
AK,1993-05,4272.6,8.08,40.4,-11.0,278.0,580,570641,94743,665384,60.9%,64.9
AK,1993-06,197940.9,11.26,38.28,-11.0,294.0,580,570641,94743,665384,60.9%,64.9
AK,1993-07,483664.8,6.08,38.23,28.0,328.0,580,570641,94743,665384,60.9%,64.9
AK,1993-08,1164.3,19.1,21.57,-22.0,256.0,580,570641,94743,665384,60.9%,64.9
AK,1993-09,3.5,31.32,10.87,-94.0,217.0,580,570641,94743,665384,60.9%,64.9
AK,1993-10,0.1,,,,,580,570641,94743,665384,60.9%,64.9
AK,1994-03,200.1,,,,,580,570641,94743,665384,60.9%,64.9
AK,1994-04,9.3,,,,,580,570641,94743,665384,60.9%,64.9
AK,1994-05,1198.5,1.61,44.26,-17.0,228.0,580,570641,94743,665384,60.9%,64.9
AK,1994-06,184553.7,22.89,37.19,-17.0,311.0,580,570641,94743,665384,60.9%,64.9
AK,1994-07,50603.5,7.79,33.98,0.0,311.0,580,570641,94743,665384,60.9%,64.9
AK,1994-08,24187.3,13.58,23.96,-28.0,317.0,580,570641,94743,665384,60.9%,64.9
AK,1994-09,210.8,12.83,14.29,-94.0,211.0,580,570641,94743,665384,60.9%,64.9
AK,1994-10,1001.7,,,,,580,570641,94743,665384,60.9%,64.9
AK,1995-03,2.1,,,,,580,570641,94743,665384,60.9%,64.9
AK,1995-04,846.5,,,,,580,570641,94743,665384,60.9%,64.9
AK,1995-05,9460.8,8.36,34.19,-39.0,294.0,580,570641,94743,665384,60.9%,64.9
AK,1995-06,5671.7,12.83,35.43,-22.0,289.0,580,570641,94743,665384,60.9%,64.9
AK,1995-07,27888.2,20.91,30.64,17.0,283.0,580,570641,94743,665384,60.9%,64.9
AK,1995-08,3.5,17.98,20.5,0.0,256.0,580,570641,94743,665384,60.9%,64.9
AK,1995-09,18.8,15.4,16.95,-44.0,250.0,580,570641,94743,665384,60.9%,64.9
AK,1995-10,70.2,7.67,6.0,-22.0,106.0,580,570641,94743,665384,60.9%,64.9
AK,1995-12,0.3,,,,,580,570641,94743,665384,60.9%,64.9
AK,1996-03,2.5,,,,,580,570641,94743,665384,60.9%,64.9
AK,1996-04,206.9,,,,,580,570641,94743,665384,60.9%,64.9
AK,1996-05,92692.0,2.25,45.07,-6.0,244.0,580,570641,94743,665384,60.9%,64.9
AK,1996-06,446381.2,9.09,40.92,-22.0,289.0,580,570641,94743,665384,60.9%,64.9
AK,1996-07,56220.7,12.99,31.46,17.0,283.0,580,570641,94743,665384,60.9%,64.9
AK,1996-08,27.1,23.34,20.01,-33.0,228.0,580,570641,94743,665384,60.9%,64.9
AK,1996-09,14.4,4.0,17.8,-22.0,233.0,580,570641,94743,665384,60.9%,64.9
AK,1996-10,3252.4,,,,,580,570641,94743,665384,60.9%,64.9
AK,1997-03,302.5,,,,,580,570641,94743,665384,60.9%,64.9
AK,1997-04,14145.3,,,,,580,570641,94743,665384,60.9%,64.9
AK,1997-05,452.2,17.33,39.94,-17.0,250.0,580,570641,94743,665384,60.9%,64.9
AK,1997-06,1601554.9,9.38,40.15,-11.0,289.0,580,570641,94743,665384,60.9%,64.9
AK,1997-07,404789.8,14.46,34.93,44.0,306.0,580,570641,94743,665384,60.9%,64.9
AK,1997-08,4950.3,21.3,13.61,0.0,283.0,580,570641,94743,665384,60.9%,64.9
AK,1997-09,3.4,11.26,13.29,-50.0,228.0,580,570641,94743,665384,60.9%,64.9
AK,1997-10,6.0,,,,,580,570641,94743,665384,60.9%,64.9
AK,1997-11,0.1,,,,,580,570641,94743,665384,60.9%,64.9
AK,1998-02,4.3,,,,,580,570641,94743,665384,60.9%,64.9
AK,1998-03,0.6,,,,,580,570641,94743,665384,60.9%,64.9
AK,1998-04,498.5,,,,,580,570641,94743,665384,60.9%,64.9
AK,1998-05,54480.0,6.37,31.63,-28.0,244.0,580,570641,94743,665384,60.9%,64.9
AK,1998-06,31754.2,14.92,25.98,-6.0,306.0,580,570641,94743,665384,60.9%,64.9
AK,1998-07,33965.5,28.48,24.67,39.0,272.0,580,570641,94743,665384,60.9%,64.9
AK,1998-08,74.5,32.34,15.0,-33.0,256.0,580,570641,94743,665384,60.9%,64.9
AK,1998-09,3.2,18.93,11.64,-33.0,189.0,580,570641,94743,665384,60.9%,64.9
AK,1998-10,1.3,,,,,580,570641,94743,665384,60.9%,64.9
AK,1999-03,0.1,,,,,580,570641,94743,665384,60.9%,64.9
AK,1999-04,520.39999,,,,,580,570641,94743,665384,60.9%,64.9
AK,1999-05,781.6,9.47,40.86,-33.0,233.0,580,570641,94743,665384,60.9%,64.9
AK,1999-06,914393.9,11.22,35.65,0.0,328.0,580,570641,94743,665384,60.9%,64.9
AK,1999-07,90106.1,20.53,27.65,28.0,294.0,580,570641,94743,665384,60.9%,64.9
AK,1999-08,2.4,15.41,17.51,6.0,306.0,580,570641,94743,665384,60.9%,64.9
AK,1999-09,38.2,11.82,13.77,-22.0,206.0,580,570641,94743,665384,60.9%,64.9
AK,1999-10,1.0,,,,,580,570641,94743,665384,60.9%,64.9
AK,2000-04,38.4,,,,,580,570641,94743,665384,60.9%,64.9
AK,2000-05,1208.6,9.04,34.04,-33.0,189.0,580,570641,94743,665384,60.9%,64.9
AK,2000-06,738604.4,6.44,36.87,6.0,289.0,580,570641,94743,665384,60.9%,64.9
AK,2000-07,3594.7,20.19,24.27,11.0,267.0,580,570641,94743,665384,60.9%,64.9
AK,2000-08,41.3,30.74,14.98,-28.0,233.0,580,570641,94743,665384,60.9%,64.9
AK,2000-09,0.7000000000000001,21.75,9.31,-50.0,156.0,580,570641,94743,665384,60.9%,64.9
AK,2000-11,0.1,,,,,580,570641,94743,665384,60.9%,64.9
AK,2000-12,12891.0,,,,,580,570641,94743,665384,60.9%,64.9
AK,2001-03,2.6,,,,,580,570641,94743,665384,60.9%,64.9
AK,2001-04,15.6,,,,,580,570641,94743,665384,60.9%,64.9
AK,2001-05,1700.1,7.02,30.22,-39.0,222.0,580,570641,94743,665384,60.9%,64.9
AK,2001-06,214004.7,5.8,37.66,6.0,283.0,580,570641,94743,665384,60.9%,64.9
AK,2001-07,557.4,30.18,20.09,11.0,239.0,580,570641,94743,665384,60.9%,64.9
