STATE,PERIOD,TOTAL_FIRE_SIZE,PRCP,EVAP,TMIN,TMAX,MEAN_ELEVATION,LAND_AREA,WATER_AREA,TOTAL_AREA,PERCENTAGE_FEDERAL_LAND,URBANIZATION_RATE,MONTH,YEAR,MONTH_SIN
AK,1992-04-01,10.1,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,4,1992,0.8660254037844387
AK,1992-05-01,4309.5,5.36,44.17,-56.0,233.0,580,570641,94743,665384,60.9,64.9,5,1992,0.49999999999999994
AK,1992-06-01,86460.6,14.03,39.27,-17.0,322.0,580,570641,94743,665384,60.9,64.9,6,1992,1.2246467991473532e-16
AK,1992-07-01,48578.5,16.78,30.91,28.0,300.0,580,570641,94743,665384,60.9,64.9,7,1992,-0.4999999999999997
AK,1992-08-01,3321.8,10.46,20.14,-33.0,267.0,580,570641,94743,665384,60.9,64.9,8,1992,-0.8660254037844384
AK,1992-09-01,35.8,17.25,15.27,-61.0,183.0,580,570641,94743,665384,60.9,64.9,9,1992,-1.0
AK,1992-10-01,1.1,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,10,1992,-0.8660254037844386
AK,1993-04-01,145.3,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,4,1993,0.8660254037844387
AK,1993-05-01,4272.6,8.08,40.4,-11.0,278.0,580,570641,94743,665384,60.9,64.9,5,1993,0.49999999999999994
AK,1993-06-01,197940.9,11.26,38.28,-11.0,294.0,580,570641,94743,665384,60.9,64.9,6,1993,1.2246467991473532e-16
AK,1993-07-01,483664.8,6.08,38.23,28.0,328.0,580,570641,94743,665384,60.9,64.9,7,1993,-0.4999999999999997
AK,1993-08-01,1164.3,19.1,21.57,-22.0,256.0,580,570641,94743,665384,60.9,64.9,8,1993,-0.8660254037844384
AK,1993-09-01,3.5,31.32,10.87,-94.0,217.0,580,570641,94743,665384,60.9,64.9,9,1993,-1.0
AK,1993-10-01,0.1,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,10,1993,-0.8660254037844386
AK,1994-03-01,200.1,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,3,1994,1.0
AK,1994-04-01,9.3,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,4,1994,0.8660254037844387
AK,1994-05-01,1198.5,1.61,44.26,-17.0,228.0,580,570641,94743,665384,60.9,64.9,5,1994,0.49999999999999994
AK,1994-06-01,184553.7,22.89,37.19,-17.0,311.0,580,570641,94743,665384,60.9,64.9,6,1994,1.2246467991473532e-16
AK,1994-07-01,50603.5,7.79,33.98,0.0,311.0,580,570641,94743,665384,60.9,64.9,7,1994,-0.4999999999999997
AK,1994-08-01,24187.3,13.58,23.96,-28.0,317.0,580,570641,94743,665384,60.9,64.9,8,1994,-0.8660254037844384
AK,1994-09-01,210.8,12.83,14.29,-94.0,211.0,580,570641,94743,665384,60.9,64.9,9,1994,-1.0
AK,1994-10-01,1001.7,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,10,1994,-0.8660254037844386
AK,1995-03-01,2.1,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,3,1995,1.0
AK,1995-04-01,846.5,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,4,1995,0.8660254037844387
