STATE,TOTAL_FIRE_SIZE,PRCP,EVAP,TMIN,TMAX,MEAN_ELEVATION,LAND_AREA,WATER_AREA,TOTAL_AREA,PERCENTAGE_FEDERAL_LAND,URBANIZATION_RATE,MONTH_SIN
114681.66804310515,10.1,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,0.8660254037844387
116110.42977833615,4309.5,5.36,44.17,-56.0,233.0,580,570641,94743,665384,60.9,64.9,0.49999999999999994
116110.42977833615,86460.6,14.03,39.27,-17.0,322.0,580,570641,94743,665384,60.9,64.9,1.2246467991473532e-16
135099.898072209,48578.5,16.78,30.91,28.0,300.0,580,570641,94743,665384,60.9,64.9,-0.4999999999999997
116110.42977833615,3321.8,10.46,20.14,-33.0,267.0,580,570641,94743,665384,60.9,64.9,-0.8660254037844384
123136.48330067123,35.8,17.25,15.27,-61.0,183.0,580,570641,94743,665384,60.9,64.9,-1.0
123136.48330067123,1.1,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,-0.8660254037844386
135673.23041372665,145.3,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,0.8660254037844387
135099.898072209,4272.6,8.08,40.4,-11.0,278.0,580,570641,94743,665384,60.9,64.9,0.49999999999999994
116110.42977833615,197940.9,11.26,38.28,-11.0,294.0,580,570641,94743,665384,60.9,64.9,1.2246467991473532e-16
116110.42977833615,483664.8,6.08,38.23,28.0,328.0,580,570641,94743,665384,60.9,64.9,-0.4999999999999997
123136.48330067123,1164.3,19.1,21.57,-22.0,256.0,580,570641,94743,665384,60.9,64.9,-0.8660254037844384
116110.42977833615,3.5,31.32,10.87,-94.0,217.0,580,570641,94743,665384,60.9,64.9,-1.0
114681.66804310515,0.1,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,-0.8660254037844386
116110.42977833615,200.1,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,1.0
116110.42977833615,9.3,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,0.8660254037844387
116110.42977833615,1198.5,1.61,44.26,-17.0,228.0,580,570641,94743,665384,60.9,64.9,0.49999999999999994
114681.66804310515,184553.7,22.89,37.19,-17.0,311.0,580,570641,94743,665384,60.9,64.9,1.2246467991473532e-16
114681.66804310515,50603.5,7.79,33.98,0.0,311.0,580,570641,94743,665384,60.9,64.9,-0.4999999999999997
116110.42977833615,24187.3,13.58,23.96,-28.0,317.0,580,570641,94743,665384,60.9,64.9,-0.8660254037844384
123136.48330067123,210.8,12.83,14.29,-94.0,211.0,580,570641,94743,665384,60.9,64.9,-1.0
116110.42977833615,1001.7,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,-0.8660254037844386
135673.23041372665,2.1,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,1.0
123136.48330067123,846.5,22.187598769705254,36.501526426424135,-29.51584264995739,282.5082348568138,580,570641,94743,665384,60.9,64.9,0.8660254037844387
123136.48330067123,9460.8,8.36,34.19,-39.0,294.0,580,570641,94743,665384,60.9,64.9,0.49999999999999994
116110.42977833615,5671.7,12.83,35.43,-22.0,289.0,580,570641,94743,665384,60.9,64.9,1.2246467991473532e-16
