State,year_month,pdsi
AL,1992-01,-0.14
AL,1992-02,-0.26
AL,1992-03,-0.63
AL,1992-04,-1.01
AL,1992-05,-1.63
AL,1992-06,0.88
AL,1992-07,0.89
AL,1992-08,2.34
AL,1992-09,2.32
AL,1992-10,1.96
AL,1992-11,2.58
AL,1992-12,2.17
AL,1993-01,2.26
AL,1993-02,1.55
AL,1993-03,1.27
AL,1993-04,1.33
AL,1993-05,1.46
AL,1993-06,1.48
AL,1993-07,1.04
AL,1993-08,1.01
AL,1993-09,0.81
AL,1993-10,1.06
AL,1993-11,1.1
AL,1993-12,0.72
AL,1994-01,1.2
AL,1994-02,1.06
AL,1994-03,1.07
AL,1994-04,0.7
AL,1994-05,0.6
AL,1994-06,1.25
AL,1994-07,2.24
AL,1994-08,1.97
AL,1994-09,1.77
AL,1994-10,2.4
AL,1994-11,-0.28
AL,1994-12,-0.5
AL,1995-01,-0.52
AL,1995-02,-0.87
AL,1995-03,0.3
AL,1995-04,0.83
AL,1995-05,0.86
AL,1995-06,-0.19
AL,1995-07,-0.27
AL,1995-08,-0.33
AL,1995-09,-0.88
AL,1995-10,0.26
AL,1995-11,0.4
AL,1995-12,0.58
AL,1996-01,0.73
AL,1996-02,-0.67
AL,1996-03,-0.53
AL,1996-04,-0.23
AL,1996-05,-1.04
AL,1996-06,0.11
AL,1996-07,-0.13
AL,1996-08,0.34
AL,1996-09,0.67
AL,1996-10,0.75
AL,1996-11,0.64
AL,1996-12,0.42
AL,1997-01,0.71
AL,1997-02,1.21
AL,1997-03,0.71
AL,1997-04,1.28
AL,1997-05,1.97
AL,1997-06,2.98
AL,1997-07,2.57
AL,1997-08,2.44
AL,1997-09,1.87
AL,1997-10,2.18
AL,1997-11,1.99
AL,1997-12,1.75
AL,1998-01,2.6
AL,1998-02,2.55
AL,1998-03,-0.07
AL,1998-04,0.1
AL,1998-05,-0.81
AL,1998-06,-1.65
AL,1998-07,-1.46
AL,1998-08,-1.89
AL,1998-09,-1.64
AL,1998-10,-2.09
AL,1998-11,-2.2
AL,1998-12,-1.89
AL,1999-01,-0.58
AL,1999-02,-1.5
AL,1999-03,-1.14
AL,1999-04,-1.62
AL,1999-05,-1.68
AL,1999-06,-1.15
AL,1999-07,-1.37
AL,1999-08,-2.09
AL,1999-09,-2.25
AL,1999-10,-2.02
AL,1999-11,-2.56
AL,1999-12,-2.86
AL,2000-01,-3.23
AL,2000-02,-3.96
AL,2000-03,-3.96
AL,2000-04,-3.08
AL,2000-05,-3.57
AL,2000-06,-3.18
AL,2000-07,-3.99
AL,2000-08,-4.71
AL,2000-09,-4.7
AL,2000-10,-4.93
AL,2000-11,1.23
AL,2000-12,0.89
AL,2001-01,1.04
AL,2001-02,1.0
AL,2001-03,1.47
AL,2001-04,0.78
AL,2001-05,0.3
AL,2001-06,1.17
AL,2001-07,1.06
AL,2001-08,1.92
AL,2001-09,2.46
AL,2001-10,3.27
AL,2001-11,3.41
AL,2001-12,3.12
AL,2002-01,2.98
AL,2002-02,2.22
AL,2002-03,2.36
AL,2002-04,1.42
AL,2002-05,1.26
AL,2002-06,0.95
AL,2002-07,0.91
AL,2002-08,0.92
AL,2002-09,2.67
AL,2002-10,4.1
AL,2002-11,3.73
AL,2002-12,3.79
AL,2003-01,2.51
AL,2003-02,3.36
AL,2003-03,2.26
AL,2003-04,1.99
AL,2003-05,2.03
AL,2003-06,3.22
AL,2003-07,3.45
AL,2003-08,3.87
AL,2003-09,3.88
AL,2003-10,3.5
AL,2003-11,3.24
AL,2003-12,2.4
AL,2004-01,1.88
AL,2004-02,2.69
AL,2004-03,1.38
AL,2004-04,1.02
AL,2004-05,1.62
AL,2004-06,3.33
AL,2004-07,3.05
AL,2004-08,3.25
AL,2004-09,2.43
AL,2004-10,2.62
AL,2004-11,3.23
AL,2004-12,3.0
AL,2005-01,-0.54
AL,2005-02,-0.47
AL,2005-03,-0.9
AL,2005-04,-0.33
AL,2005-05,-0.61
AL,2005-06,-0.67
AL,2005-07,0.28
AL,2005-08,1.31
AL,2005-09,-0.1
AL,2005-10,-0.91
AL,2005-11,-1.31
AL,2005-12,-1.49
AL,2006-01,-1.22
AL,2006-02,-0.76
AL,2006-03,-1.38
AL,2006-04,-1.84
AL,2006-05,-1.93
AL,2006-06,-2.42
AL,2006-07,-3.03
AL,2006-08,-3.18
AL,2006-09,-2.81
AL,2006-10,-1.34
AL,2006-11,-1.41
AL,2006-12,-1.12
AL,2007-01,-1.12
AL,2007-02,-1.74
AL,2007-03,-3.22
AL,2007-04,-3.35
AL,2007-05,-3.69
AL,2007-06,-3.73
AL,2007-07,-2.69
AL,2007-08,-3.11
AL,2007-09,-2.88
AL,2007-10,-2.19
AL,2007-11,-2.59
AL,2007-12,-2.85
AL,2008-01,-2.83
AL,2008-02,-2.46
AL,2008-03,-2.75
AL,2008-04,-2.34
AL,2008-05,-1.67
AL,2008-06,-1.97
AL,2008-07,-2.56
AL,2008-08,1.57
AL,2008-09,2.37
AL,2008-10,2.28
AL,2008-11,1.81
AL,2008-12,2.31
AL,2009-01,1.66
AL,2009-02,0.91
AL,2009-03,1.38
AL,2009-04,0.86
AL,2009-05,1.91
AL,2009-06,0.87
AL,2009-07,1.25
AL,2009-08,1.14
AL,2009-09,2.32
AL,2009-10,4.38
AL,2009-11,3.3
AL,2009-12,3.89
AL,2010-01,0.03
AL,2010-02,-0.12
AL,2010-03,-0.62
AL,2010-04,-1.2
AL,2010-05,-0.89
AL,2010-06,-1.23
AL,2010-07,-1.6
AL,2010-08,-1.41
AL,2010-09,-2.33
AL,2010-10,-2.56
AL,2010-11,-2.09
AL,2010-12,-2.84
AL,2011-01,-2.73
AL,2011-02,-3.18
AL,2011-03,-2.73
AL,2011-04,-2.28
AL,2011-05,-2.77
AL,2011-06,-3.11
AL,2011-07,-2.95
AL,2011-08,-3.53
AL,2011-09,-1.76
AL,2011-10,-1.87
AL,2011-11,-1.83
AL,2011-12,-1.49
AL,2012-01,-1.72
AL,2012-02,-1.46
AL,2012-03,-1.5
AL,2012-04,-1.87
AL,2012-05,-2.25
AL,2012-06,-2.26
AL,2012-07,0.39
AL,2012-08,2.16
AL,2012-09,2.43
AL,2012-10,2.51
AL,2012-11,1.73
AL,2012-12,1.92
AL,2013-01,2.69
AL,2013-02,2.97
AL,2013-03,2.24
AL,2013-04,2.43
AL,2013-05,2.72
AL,2013-06,2.5
AL,2013-07,2.23
AL,2013-08,1.94
AL,2013-09,2.18
AL,2013-10,1.75
AL,2013-11,1.81
AL,2013-12,1.62
AL,2014-01,0.68
AL,2014-02,0.9
AL,2014-03,0.79
AL,2014-04,1.66
AL,2014-05,1.67
AL,2014-06,2.47
AL,2014-07,2.31
AL,2014-08,2.36
AL,2014-09,-0.32
AL,2014-10,0.32
AL,2014-11,-0.23
AL,2014-12,-0.21
AL,2015-01,-0.31
AL,2015-02,-0.47
AL,2015-03,0.02
AL,2015-04,0.12
AL,2015-05,0.5
AL,2015-06,0.47
AL,2015-07,-0.28
AL,2015-08,-0.54
AL,2015-09,-1.26
AL,2015-10,0.54
AL,2015-11,1.13
AL,2015-12,1.26
AR,1992-01,-0.4
AR,1992-02,-0.69
AR,1992-03,-0.57
AR,1992-04,-1.12
AR,1992-05,-1.41
AR,1992-06,1.06
AR,1992-07,1.82
AR,1992-08,2.03
AR,1992-09,2.31
AR,1992-10,1.72
AR,1992-11,1.86
AR,1992-12,1.87
AR,1993-01,1.94
AR,1993-02,-0.28
AR,1993-03,-0.67
AR,1993-04,0.5
AR,1993-05,0.49
AR,1993-06,0.52
AR,1993-07,-0.84
AR,1993-08,-1.02
AR,1993-09,0.48
AR,1993-10,1.14
AR,1993-11,1.5
AR,1993-12,1.51
AR,1994-01,1.82
AR,1994-02,1.6
AR,1994-03,1.49
AR,1994-04,1.1
AR,1994-05,0.77
AR,1994-06,0.64
AR,1994-07,1.69
AR,1994-08,1.9
AR,1994-09,1.49
AR,1994-10,1.49
AR,1994-11,2.01
AR,1994-12,1.94
AR,1995-01,2.06
AR,1995-02,-0.62
AR,1995-03,-1.07
AR,1995-04,-0.58
AR,1995-05,-0.59
AR,1995-06,-0.51
AR,1995-07,-0.19
AR,1995-08,-0.9
AR,1995-09,-1.08
AR,1995-10,-1.39
AR,1995-11,-1.83
AR,1995-12,-1.83
AR,1996-01,-1.9
AR,1996-02,-2.46
AR,1996-03,-2.45
AR,1996-04,-2.18
AR,1996-05,-2.49
AR,1996-06,0.13
AR,1996-07,0.8
AR,1996-08,0.92
AR,1996-09,1.76
AR,1996-10,1.97
AR,1996-11,3.24
AR,1996-12,2.69
AR,1997-01,2.18
AR,1997-02,2.54
AR,1997-03,2.53
AR,1997-04,3.28
AR,1997-05,2.72
AR,1997-06,2.9
AR,1997-07,2.22
AR,1997-08,2.01
AR,1997-09,1.54
AR,1997-10,1.66
AR,1997-11,1.3
AR,1997-12,1.15
AR,1998-01,1.64
AR,1998-02,1.65
AR,1998-03,1.79
AR,1998-04,-0.41
AR,1998-05,-1.03
AR,1998-06,-1.73
AR,1998-07,-2.26
AR,1998-08,-2.36
AR,1998-09,-2.24
AR,1998-10,-1.72
AR,1998-11,-2.03
AR,1998-12,-1.86
AR,1999-01,-0.88
AR,1999-02,-1.75
AR,1999-03,-1.38
AR,1999-04,-1.12
AR,1999-05,-1.14
AR,1999-06,-0.57
AR,1999-07,-0.97
AR,1999-08,-1.75
AR,1999-09,-2.2
