STATE,TOTAL_FIRE_SIZE,PRCP,EVAP,TMIN,TMAX,MEAN_ELEVATION,LAND_AREA,WATER_AREA,TOTAL_AREA,PERCENTAGE_FEDERAL_LAND,URBANIZATION_RATE,MONTH,YEAR,MONTH_SIN
AK,10.1,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,1992,0.8660254037844387
AK,4309.5,5.36,44.17,-56.0,233.0,580,570641,94743,665384,60.9,64.9,5,1992,0.49999999999999994
AK,86460.6,14.03,39.27,-17.0,322.0,580,570641,94743,665384,60.9,64.9,6,1992,1.2246467991473532e-16
AK,48578.5,16.78,30.91,28.0,300.0,580,570641,94743,665384,60.9,64.9,7,1992,-0.4999999999999997
AK,3321.8,10.46,20.14,-33.0,267.0,580,570641,94743,665384,60.9,64.9,8,1992,-0.8660254037844384
AK,35.8,17.25,15.27,-61.0,183.0,580,570641,94743,665384,60.9,64.9,9,1992,-1.0
AK,1.1,6.652857142857143,5.987142857142857,-42.0,111.42857142857143,580,570641,94743,665384,60.9,64.9,10,1992,-0.8660254037844386
AK,145.3,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,1993,0.8660254037844387
AK,4272.6,8.08,40.4,-11.0,278.0,580,570641,94743,665384,60.9,64.9,5,1993,0.49999999999999994
AK,197940.9,11.26,38.28,-11.0,294.0,580,570641,94743,665384,60.9,64.9,6,1993,1.2246467991473532e-16
AK,483664.8,6.08,38.23,28.0,328.0,580,570641,94743,665384,60.9,64.9,7,1993,-0.4999999999999997
AK,1164.3,19.1,21.57,-22.0,256.0,580,570641,94743,665384,60.9,64.9,8,1993,-0.8660254037844384
AK,3.5,31.32,10.87,-94.0,217.0,580,570641,94743,665384,60.9,64.9,9,1993,-1.0
AK,0.1,6.652857142857143,5.987142857142857,-42.0,111.42857142857143,580,570641,94743,665384,60.9,64.9,10,1993,-0.8660254037844386
AK,200.1,0.0,0.0,-289.0,-156.0,580,570641,94743,665384,60.9,64.9,3,1994,1.0
AK,9.3,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,1994,0.8660254037844387
AK,1198.5,1.61,44.26,-17.0,228.0,580,570641,94743,665384,60.9,64.9,5,1994,0.49999999999999994
AK,184553.7,22.89,37.19,-17.0,311.0,580,570641,94743,665384,60.9,64.9,6,1994,1.2246467991473532e-16
AK,50603.5,7.79,33.98,0.0,311.0,580,570641,94743,665384,60.9,64.9,7,1994,-0.4999999999999997
AK,24187.3,13.58,23.96,-28.0,317.0,580,570641,94743,665384,60.9,64.9,8,1994,-0.8660254037844384
AK,210.8,12.83,14.29,-94.0,211.0,580,570641,94743,665384,60.9,64.9,9,1994,-1.0
AK,1001.7,6.652857142857143,5.987142857142857,-42.0,111.42857142857143,580,570641,94743,665384,60.9,64.9,10,1994,-0.8660254037844386
AK,2.1,0.0,0.0,-289.0,-156.0,580,570641,94743,665384,60.9,64.9,3,1995,1.0
AK,846.5,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,1995,0.8660254037844387
AK,9460.8,8.36,34.19,-39.0,294.0,580,570641,94743,665384,60.9,64.9,5,1995,0.49999999999999994
AK,5671.7,12.83,35.43,-22.0,289.0,580,570641,94743,665384,60.9,64.9,6,1995,1.2246467991473532e-16
AK,27888.2,20.91,30.64,17.0,283.0,580,570641,94743,665384,60.9,64.9,7,1995,-0.4999999999999997
AK,3.5,17.98,20.5,0.0,256.0,580,570641,94743,665384,60.9,64.9,8,1995,-0.8660254037844384
AK,18.8,15.4,16.95,-44.0,250.0,580,570641,94743,665384,60.9,64.9,9,1995,-1.0
AK,70.2,7.67,6.0,-22.0,106.0,580,570641,94743,665384,60.9,64.9,10,1995,-0.8660254037844386
AK,0.3,18.8715191267981,17.19622893065115,-75.41472578437441,189.21906104346078,580,570641,94743,665384,60.9,64.9,12,1995,-2.4492935982947064e-16
AK,2.5,0.0,0.0,-289.0,-156.0,580,570641,94743,665384,60.9,64.9,3,1996,1.0
AK,206.9,2.1666666666666665,39.5,7.333333333333333,150.0,580,570641,94743,665384,60.9,64.9,4,1996,0.8660254037844387
