State,year_month,PRCP,EVAP,TMIN,TMAX
AK,1992-05,5.36,44.17,-56.0,233.0
AK,1992-06,14.03,39.27,-17.0,322.0
AK,1992-07,16.78,30.91,28.0,300.0
AK,1992-08,10.46,20.14,-33.0,267.0
AK,1992-09,17.25,15.27,-61.0,183.0
AK,1993-05,8.08,40.4,-11.0,278.0
AK,1993-06,11.26,38.28,-11.0,294.0
AK,1993-07,6.08,38.23,28.0,328.0
AK,1993-08,19.1,21.57,-22.0,256.0
AK,1993-09,31.32,10.87,-94.0,217.0
AK,1994-05,1.61,44.26,-17.0,228.0
AK,1994-06,22.89,37.19,-17.0,311.0
AK,1994-07,7.79,33.98,0.0,311.0
AK,1994-08,13.58,23.96,-28.0,317.0
AK,1994-09,12.83,14.29,-94.0,211.0
AK,1995-05,8.36,34.19,-39.0,294.0
AK,1995-06,12.83,35.43,-22.0,289.0
AK,1995-07,20.91,30.64,17.0,283.0
AK,1995-08,17.98,20.5,0.0,256.0
AK,1995-09,15.4,16.95,-44.0,250.0
AK,1995-10,7.67,6.0,-22.0,106.0
AK,1996-05,2.25,45.07,-6.0,244.0
AK,1996-06,9.09,40.92,-22.0,289.0
AK,1996-07,12.99,31.46,17.0,283.0
AK,1996-08,23.34,20.01,-33.0,228.0
AK,1996-09,4.0,17.8,-22.0,233.0
AK,1997-05,17.33,39.94,-17.0,250.0
AK,1997-06,9.38,40.15,-11.0,289.0
AK,1997-07,14.46,34.93,44.0,306.0
AK,1997-08,21.3,13.61,0.0,283.0
AK,1997-09,11.26,13.29,-50.0,228.0
AK,1998-05,6.37,31.63,-28.0,244.0
AK,1998-06,14.92,25.98,-6.0,306.0
AK,1998-07,28.48,24.67,39.0,272.0
AK,1998-08,32.34,15.0,-33.0,256.0
AK,1998-09,18.93,11.64,-33.0,189.0
AK,1999-05,9.47,40.86,-33.0,233.0
AK,1999-06,11.22,35.65,0.0,328.0
AK,1999-07,20.53,27.65,28.0,294.0
AK,1999-08,15.41,17.51,6.0,306.0
AK,1999-09,11.82,13.77,-22.0,206.0
AK,2000-05,9.04,34.04,-33.0,189.0
AK,2000-06,6.44,36.87,6.0,289.0
AK,2000-07,20.19,24.27,11.0,267.0
AK,2000-08,30.74,14.98,-28.0,233.0
AK,2000-09,21.75,9.31,-50.0,156.0
AK,2001-05,7.02,30.22,-39.0,222.0
AK,2001-06,5.8,37.66,6.0,283.0
AK,2001-07,30.18,20.09,11.0,239.0
AK,2001-08,15.02,19.58,11.0,256.0
AK,2001-09,10.32,13.19,-28.0,189.0
AK,2001-10,10.32,8.16,-189.0,156.0
AK,2002-05,4.18,38.74,-44.0,278.0
AK,2002-06,6.88,39.38,28.0,278.0
AK,2002-07,20.04,27.05,11.0,289.0
AK,2002-08,34.2,18.84,-11.0,294.0
AK,2002-09,24.37,10.35,-72.0,194.0
AK,2003-04,0.0,45.0,-17.0,189.0
AK,2003-05,4.94,33.63,-11.0,211.0
AK,2003-06,7.43,33.6,-6.0,244.0
AK,2003-07,29.07,32.97,-6.0,294.0
AK,2003-08,17.54,21.33,6.0,294.0
AK,2003-09,15.38,16.62,-33.0,189.0
AK,2004-05,9.46,34.18,0.0,222.0
AK,2004-06,6.71,31.9,11.0,306.0
AK,2004-07,16.26,28.47,39.0,289.0
AK,2004-08,10.64,23.3,0.0,306.0
AK,2004-09,21.47,25.27,-44.0,183.0
AK,2005-05,1.18,46.57,-6.0,228.0
AK,2005-06,23.56,36.87,11.0,289.0
AK,2005-07,26.37,34.28,-6.0,261.0
AK,2005-08,15.26,22.48,-11.0,300.0
AK,2005-09,23.84,19.55,-56.0,178.0
AK,2006-05,1.8,44.22,-17.0,261.0
AK,2006-06,19.78,33.2,-56.0,256.0
AK,2006-07,17.6,35.34,28.0,272.0
AK,2006-08,30.68,19.1,-17.0,233.0
AK,2006-09,11.78,20.03,-11.0,194.0
AK,2007-05,11.6,31.23,-22.0,244.0
AK,2007-06,8.21,34.86,-6.0,272.0
AK,2007-07,17.41,27.38,28.0,278.0
AK,2007-08,24.83,24.75,17.0,278.0
AK,2007-09,26.82,17.97,-44.0,206.0
AK,2007-10,1.25,18.5,-39.0,111.0
AK,2008-05,5.23,32.35,-44.0,189.0
AK,2008-06,18.51,37.38,33.0,272.0
AK,2008-07,12.4,32.52,39.0,289.0
AK,2008-08,14.47,22.98,11.0,233.0
AK,2008-09,14.6,16.08,-33.0,217.0
AK,2009-05,4.64,33.41,-50.0,261.0
AK,2009-06,10.65,32.7,-11.0,294.0
AK,2009-07,5.8,39.15,28.0,322.0
AK,2009-08,16.22,17.77,-39.0,289.0
AK,2009-09,8.42,21.2,-61.0,228.0
AK,2009-10,0.0,11.25,-22.0,117.0
AK,2011-04,0.0,48.0,33.0,122.0
AK,2011-05,2.97,45.94,-33.0,294.0
AK,2011-06,15.4,25.82,6.0,306.0
AK,2011-07,16.52,24.84,6.0,272.0
AK,2011-08,23.0,9.21,0.0,239.0
AK,2011-09,5.74,12.47,-33.0,211.0
AK,2011-10,24.33,-17.0,28.0,106.0
AK,2012-05,9.37,32.5,-33.0,222.0
AK,2012-06,25.69,24.51,11.0,300.0
AK,2012-07,11.31,28.05,0.0,267.0
AK,2012-08,18.76,20.59,-22.0,261.0
AK,2012-09,27.71,9.47,-61.0,178.0
AK,2013-05,8.94,31.58,-44.0,267.0
AK,2013-06,4.0,52.26,17.0,333.0
AK,2013-07,6.34,39.21,61.0,306.0
AK,2013-08,23.87,21.66,17.0,272.0
AK,2013-09,33.49,8.25,-39.0,206.0
AK,2013-10,0.0,15.0,-22.0,117.0
AK,2014-05,0.75,46.55,0.0,228.0
AK,2014-06,22.09,29.53,0.0,261.0
AK,2014-07,28.54,33.23,33.0,294.0
AK,2014-08,15.73,23.34,-17.0,256.0
AK,2014-09,21.85,13.41,-33.0,233.0
AK,2015-04,6.5,25.5,6.0,139.0
AK,2015-05,2.81,44.94,-17.0,233.0
AK,2015-06,8.93,43.47,17.0,306.0
AK,2015-07,17.48,34.46,61.0,311.0
AK,2015-08,21.0,24.1,-11.0,267.0
AK,2015-09,39.65,11.44,-67.0,200.0
AK,2015-10,3.0,0.0,-28.0,67.0
AK,2016-05,3.95,37.48,-22.0,267.0
AK,2016-06,22.52,37.62,22.0,294.0
AK,2016-07,31.37,33.0,78.0,311.0
AK,2016-08,18.81,25.39,33.0,261.0
AK,2016-09,17.84,12.13,-22.0,222.0
AK,2017-01,0.0,0.0,-233.0,-167.0
AK,2017-03,0.0,0.0,-289.0,-156.0
AK,2017-05,8.16,38.0,-17.0,200.0
AK,2017-06,14.05,37.62,22.0,322.0
AK,2017-07,24.94,27.06,61.0,317.0
AK,2017-08,18.73,17.43,33.0,294.0
AK,2017-09,12.6,11.43,-6.0,217.0
AK,2018-05,6.35,35.55,-17.0,194.0
AK,2018-06,11.03,32.18,6.0,306.0
AK,2018-07,8.0,34.59,33.0,322.0
AK,2018-08,41.52,15.35,28.0,289.0
AK,2018-09,11.3,12.72,-11.0,206.0
AK,2019-05,7.42,34.39,0.0,194.0
AK,2019-06,7.63,41.05,39.0,311.0
AK,2019-07,9.16,36.48,56.0,311.0
AK,2019-08,25.06,25.55,6.0,267.0
AK,2019-09,22.04,11.59,-28.0,228.0
AK,2020-05,3.87,40.0,-39.0,239.0
AK,2020-06,23.48,32.1,44.0,267.0
AK,2020-07,22.79,25.82,28.0,272.0
AK,2020-08,19.08,20.94,39.0,272.0
AK,2020-09,14.56,9.19,-22.0,200.0
AK,2021-05,7.81,38.23,-39.0,244.0
AK,2021-06,9.0,35.69,28.0,294.0
AK,2021-07,13.61,32.71,56.0,311.0
AK,2021-08,33.91,16.55,0.0,317.0
AK,2021-09,16.77,12.51,-67.0,211.0
AL,1992-01,45.18,18.29,-28.0,217.0
AL,1992-02,35.2,25.85,-39.0,256.0
AL,1992-03,21.85,38.96,-39.0,278.0
AL,1992-04,17.51,50.48,-33.0,317.0
AL,1992-05,15.44,60.04,39.0,328.0
AL,1992-06,37.36,56.95,89.0,344.0
AL,1992-07,40.22,57.61,172.0,367.0
AL,1992-08,33.11,47.39,94.0,356.0
AL,1992-09,19.48,41.92,61.0,333.0
AL,1992-10,18.14,30.34,6.0,289.0
AL,1992-11,37.47,24.04,-50.0,272.0
AL,1992-12,17.71,16.71,-33.0,250.0
AL,1993-01,29.53,17.75,-67.0,239.0
AL,1993-02,24.86,27.56,-33.0,244.0
AL,1993-03,37.9,35.41,-39.0,294.0
AL,1993-04,20.25,49.66,-33.0,289.0
AL,1993-05,29.11,53.68,28.0,328.0
AL,1993-06,21.3,62.82,56.0,372.0
AL,1993-07,24.12,66.55,133.0,400.0
AL,1993-08,31.02,56.57,111.0,372.0
AL,1993-09,30.55,47.56,28.0,367.0
AL,1993-10,12.83,33.22,-33.0,317.0
AL,1993-11,18.98,21.06,-67.0,278.0
AL,1993-12,32.14,19.63,-67.0,244.0
AL,1994-01,30.95,18.77,-33.0,239.0
AL,1994-02,20.27,29.22,-39.0,272.0
AL,1994-03,22.51,42.57,-22.0,300.0
AL,1994-04,20.9,49.38,-17.0,317.0
AL,1994-05,20.55,57.05,-11.0,328.0
AL,1994-06,47.71,52.41,161.0,356.0
AL,1994-07,39.49,51.14,106.0,350.0
AL,1994-08,23.9,49.78,139.0,356.0
AL,1994-09,12.85,45.39,56.0,339.0
AL,1994-10,21.12,30.04,6.0,328.0
AL,1994-11,10.44,27.3,0.0,283.0
AL,1994-12,11.96,17.66,-28.0,244.0
AL,1995-01,27.63,22.49,-33.0,239.0
AL,1995-02,28.64,35.76,-33.0,283.0
AL,1995-03,31.34,37.03,-22.0,317.0
AL,1995-04,25.26,49.34,-11.0,311.0
AL,1995-05,15.94,58.2,22.0,344.0
AL,1995-06,22.95,59.41,72.0,361.0
AL,1995-07,31.38,65.59,139.0,389.0
AL,1995-08,26.7,61.04,172.0,400.0
AL,1995-09,20.84,53.89,83.0,372.0
AL,1995-10,14.81,39.2,-11.0,333.0
AL,1995-11,20.0,24.97,-56.0,278.0
AL,1995-12,38.07,18.35,-50.0,261.0
AL,1996-01,29.53,22.26,-39.0,244.0
AL,1996-02,22.26,34.29,-33.0,294.0
AL,1996-03,43.06,40.64,-33.0,283.0
AL,1996-04,23.64,52.36,-39.0,311.0
AL,1996-05,10.18,61.62,17.0,378.0
AL,1996-06,22.33,60.51,-144.0,356.0
AL,1996-07,37.14,63.65,122.0,367.0
AL,1996-08,30.02,53.4,117.0,350.0
AL,1996-09,40.69,43.56,50.0,333.0
AL,1996-10,19.3,31.77,-11.0,306.0
AL,1996-11,13.98,24.17,-39.0,278.0
AL,1996-12,25.23,21.17,-44.0,267.0
AL,1997-01,35.3,21.72,-44.0,256.0
AL,1997-02,27.34,22.26,-28.0,278.0
AL,1997-03,15.24,39.08,-11.0,300.0
AL,1997-04,29.74,48.37,-17.0,289.0
AL,1997-05,28.02,52.38,17.0,322.0
AL,1997-06,35.72,47.77,111.0,339.0
AL,1997-07,31.21,59.19,161.0,361.0
AL,1997-08,19.62,54.55,122.0,372.0
AL,1997-09,18.44,50.93,72.0,383.0
AL,1997-10,19.73,37.17,-11.0,333.0
AL,1997-11,20.76,20.53,-61.0,261.0
AL,1997-12,20.51,18.08,-78.0,244.0
AL,1998-01,26.77,19.6,-33.0,233.0
AL,1998-02,40.22,30.55,-67.0,244.0
AL,1998-03,14.19,36.56,-61.0,306.0
